Year,Definite Count,Probable Count,Possible Count
1820,1,0,0
1954,1,0,0
1955,1,0,0
1958,1,0,0
1960,2,0,0
1961,1,0,0
1965,1,0,0
1967,3,0,0
1971,2,0,0
1972,7,0,0
1973,4,1,0
1974,2,0,0
1975,1,0,0
1976,5,1,0
1977,1,0,0
1979,1,0,0
1980,5,0,0
1981,3,0,0
1982,7,0,0
1983,3,0,1
1984,7,0,0
1985,4,1,0
1986,11,1,0
1987,10,3,0
1988,10,1,2
1989,4,0,1
1990,9,0,0
1991,15,0,0
1992,17,2,2
1993,21,1,1
1994,16,1,4
1995,26,2,2
1996,23,1,2
1997,18,6,6
1998,26,3,4
1999,15,1,6
2000,11,5,8
2001,20,8,6
2002,8,4,3
2003,9,9,11
2004,12,6,9
2005,18,5,3
2006,15,3,16
2007,21,12,11
2008,4,6,9
2009,13,0,6
2010,5,4,2
2011,9,9,4
2012,16,9,4
2013,7,8,12
2014,10,5,3
2015,13,4,4
2016,18,5,9
2017,22,4,3
2018,16,2,3
2019,16,5,2
Unknown,58,18,14
Total,605,155,173
